Transaction_ID,Date,Customer_ID,Customer_Age_Group,City,Region,Store_ID,Category,Product_Name,Brand,Quantity,Unit_Price_INR,Discount_Percent,Total_Amount_INR,Payment_Method,High_Discount_Flag,Gross_Revenue,Discount_Amount,Month,Quarter,Week,Revenue_Per_Unit,Is_Digital
TXN000001,13-12-2023,CUST9935,18-25,Chennai,South,STORE038,Dairy & Eggs,Milk,EcoFresh,8,342.58,0,2740.64,Cash,FALSE,2740.64,0,12,4,50,342.58,FALSE
TXN000002,15-10-2023,CUST4257,55+,Bangalore,South,STORE027,Fruits & Vegetables,Banana,GreenLeaf,8,762.98,0,6103.84,UPI,FALSE,6103.84,0,10,4,41,762.98,TRUE
TXN000003,23-05-2023,CUST3547,26-35,Hyderabad,South,STORE049,Grains & Pulses,Oats,TopBrand,6,1050.23,15,5356.17,Cash,FALSE,6301.38,945.21,5,2,21,892.695,FALSE
TXN000004,23-01-2023,CUST8527,55+,Mumbai,West,STORE008,Dairy & Eggs,Cream,EcoFresh,12,1272.77,10,13745.92,Cash,FALSE,15273.24,1527.32,1,1,4,1145.493333,FALSE
TXN000005,24-01-2023,CUST4733,36-45,Lucknow,North,STORE006,Cleaning Supplies,Toilet Cleaner,GreenLeaf,12,870.25,0,10443,Cash,FALSE,10443,0,1,1,4,870.25,FALSE
TXN000006,18-04-2023,CUST5374,18-25,Ahmedabad,West,STORE039,Frozen Foods,Frozen Corn,HomeChoice,12,252.35,15,2573.97,Net Banking,FALSE,3028.2,454.23,4,2,16,214.4975,FALSE
TXN000007,17-12-2023,CUST6313,18-25,Ahmedabad,West,STORE015,Meat & Seafood,Mutton Chops,FreshMart,13,412.22,5,5090.92,Debit Card,FALSE,5358.86,267.94,12,4,50,391.6092308,TRUE
TXN000008,19-04-2023,CUST9179,46-55,Mumbai,West,STORE042,Frozen Foods,Frozen Corn,ValueBuy,7,1370.57,15,8154.89,Credit Card,FALSE,9593.99,1439.1,4,2,16,1164.984286,TRUE
TXN000009,26-10-2023,CUST7543,36-45,Bangalore,South,STORE015,Beverages,Green Tea,HomeChoice,18,813.08,20,11708.35,Net Banking,TRUE,14635.44,2927.09,10,4,43,650.4638889,FALSE
TXN000010,15-12-2023,CUST7916,55+,Hyderabad,South,STORE005,Personal Care,Conditioner,EcoFresh,4,237.73,0,950.92,UPI,FALSE,950.92,0,12,4,50,237.73,TRUE
TXN000011,15-12-2023,CUST2876,55+,Jaipur,North,STORE049,Grains & Pulses,Black Beans,PureLife,9,1456.91,0,13112.19,Debit Card,FALSE,13112.19,0,12,4,50,1456.91,TRUE
TXN000012,14-09-2023,CUST3927,55+,Pune,West,STORE007,Dairy & Eggs,Paneer,PureLife,6,686.05,10,3704.67,Net Banking,FALSE,4116.3,411.63,9,3,37,617.445,FALSE
TXN000013,03-11-2023,CUST6310,46-55,Delhi,North,STORE002,Grains & Pulses,Chickpeas,NatureBest,12,1146.14,0,13753.68,Debit Card,FALSE,13753.68,0,11,4,44,1146.14,TRUE
TXN000014,13-02-2023,CUST8962,18-25,Hyderabad,South,STORE049,Beverages,Coffee Powder,Premium,8,1318.23,0,10545.84,Credit Card,FALSE,10545.84,0,2,1,7,1318.23,TRUE
TXN000015,19-04-2023,CUST9835,26-35,Jaipur,North,STORE046,Bakery,Donut,PureLife,6,404.93,20,1943.66,UPI,TRUE,2429.58,485.92,4,2,16,323.9433333,TRUE
TXN000016,02-02-2023,CUST6539,18-25,Jaipur,North,STORE038,Snacks & Confectionery,Peanut Butter Cups,Premium,15,190.3,5,2711.78,Credit Card,FALSE,2854.5,142.72,2,1,5,180.7853333,TRUE
TXN000017,28-04-2023,CUST2104,18-25,Hyderabad,South,STORE022,Grains & Pulses,Chickpeas,NatureBest,3,1064.68,0,3194.04,Net Banking,FALSE,3194.04,0,4,2,17,1064.68,FALSE
TXN000018,05-05-2023,CUST8749,46-55,Ahmedabad,West,STORE013,Meat & Seafood,Tuna Can,NatureBest,7,813.46,25,4270.66,Cash,TRUE,5694.22,1423.56,5,2,18,610.0942857,FALSE
TXN000019,11-12-2023,CUST2612,18-25,Pune,West,STORE026,Frozen Foods,Veggie Burger,TopBrand,14,705.87,0,9882.18,Cash,FALSE,9882.18,0,12,4,50,705.87,FALSE
TXN000020,04-04-2023,CUST5563,46-55,Bangalore,South,STORE016,Meat & Seafood,Prawns,NatureBest,18,678.43,20,9769.39,UPI,TRUE,12211.74,2442.35,4,2,14,542.7438889,TRUE
TXN000021,02-05-2023,CUST3724,46-55,Hyderabad,South,STORE032,Cleaning Supplies,Floor Cleaner,ValueBuy,18,1255.68,0,22602.24,Credit Card,FALSE,22602.24,0,5,2,18,1255.68,TRUE
TXN000022,16-05-2023,CUST8454,36-45,Delhi,North,STORE028,Frozen Foods,Frozen Pizza,Premium,13,13.21,20,137.38,UPI,TRUE,171.73,34.35,5,2,20,10.56769231,TRUE
TXN000023,10-06-2023,CUST1936,18-25,Chennai,South,STORE038,Bakery,Muffin,ValueBuy,7,1453.38,0,10173.66,Net Banking,FALSE,10173.66,0,6,2,23,1453.38,FALSE
TXN000024,05-02-2023,CUST2113,26-35,Hyderabad,South,STORE026,Cleaning Supplies,Laundry Detergent,NatureBest,17,129.37,0,2199.29,Net Banking,FALSE,2199.29,0,2,1,5,129.37,FALSE
TXN000025,03-12-2023,CUST9565,36-45,Lucknow,North,STORE017,Meat & Seafood,Sardines,GreenLeaf,2,932.88,20,1492.61,Debit Card,TRUE,1865.76,373.15,12,4,48,746.305,TRUE
TXN000026,23-08-2023,CUST6180,18-25,Pune,West,STORE001,Meat & Seafood,Tuna Can,ValueBuy,5,1010.82,10,4548.69,Net Banking,FALSE,5054.1,505.41,8,3,34,909.738,FALSE
TXN000027,09-03-2023,CUST6718,18-25,Mumbai,West,STORE016,Grains & Pulses,Wheat Flour,TopBrand,18,327.6,10,5307.12,Debit Card,FALSE,5896.8,589.68,3,1,10,294.84,TRUE
TXN000028,08-12-2023,CUST5905,18-25,Jaipur,North,STORE009,Bakery,Donut,PureLife,10,921.4,0,9214,Cash,FALSE,9214,0,12,4,49,921.4,FALSE
TXN000029,25-06-2023,CUST4335,36-45,Delhi,North,STORE033,Dairy & Eggs,Buttermilk,ValueBuy,9,429.82,5,3674.96,Debit Card,FALSE,3868.38,193.42,6,2,25,408.3288889,TRUE
TXN000030,08-03-2023,CUST5291,26-35,Pune,West,STORE048,Fruits & Vegetables,Banana,ValueBuy,9,75.69,15,579.03,Net Banking,FALSE,681.21,102.18,3,1,10,64.33666667,FALSE
TXN000031,07-10-2023,CUST1590,36-45,Hyderabad,South,STORE038,Frozen Foods,Chicken Nuggets,Premium,4,122.11,0,488.44,Credit Card,FALSE,488.44,0,10,4,40,122.11,TRUE
TXN000032,03-07-2023,CUST4441,26-35,Hyderabad,South,STORE043,Frozen Foods,Frozen Peas,NatureBest,10,553.33,0,5533.3,Debit Card,FALSE,5533.3,0,7,3,27,553.33,TRUE
TXN000033,25-03-2023,CUST3900,46-55,Lucknow,North,STORE002,Cleaning Supplies,Trash Bags,HomeChoice,5,1389.39,5,6599.6,Debit Card,FALSE,6946.95,347.35,3,1,12,1319.92,TRUE
TXN000034,15-07-2023,CUST1634,46-55,Chennai,South,STORE015,Frozen Foods,Fish Fingers,GreenLeaf,6,1183.19,0,7099.14,UPI,FALSE,7099.14,0,7,3,28,1183.19,TRUE
TXN000035,24-07-2023,CUST6378,36-45,Bangalore,South,STORE005,Snacks & Confectionery,Granola Bar,PureLife,8,45.26,5,343.98,Debit Card,FALSE,362.08,18.1,7,3,30,42.9975,TRUE
TXN000036,14-05-2023,CUST3925,55+,Jaipur,North,STORE017,Cleaning Supplies,Trash Bags,FreshMart,11,1409.46,0,15504.06,Cash,FALSE,15504.06,1.82E-12,5,2,19,1409.46,FALSE
TXN000037,17-07-2023,CUST4114,36-45,Kolkata,East,STORE003,Grains & Pulses,Quinoa,EcoFresh,11,660.23,0,7262.53,Cash,FALSE,7262.53,9.09E-13,7,3,29,660.23,FALSE
TXN000038,16-11-2023,CUST6143,18-25,Bangalore,South,STORE047,Cleaning Supplies,Disinfectant Spray,PureLife,12,652.63,15,6656.83,Net Banking,FALSE,7831.56,1174.73,11,4,46,554.7358333,FALSE
TXN000039,09-04-2023,CUST7888,46-55,Kolkata,East,STORE044,Beverages,Energy Drink,HomeChoice,13,1048.84,0,13634.92,Net Banking,FALSE,13634.92,-1.82E-12,4,2,14,1048.84,FALSE
TXN000040,27-05-2023,CUST4443,46-55,Pune,West,STORE038,Grains & Pulses,Oats,Local,18,1252.25,10,20286.45,Debit Card,FALSE,22540.5,2254.05,5,2,21,1127.025,TRUE
TXN000041,04-12-2023,CUST2389,36-45,Ahmedabad,West,STORE033,Personal Care,Lip Balm,Local,7,771.65,0,5401.55,Debit Card,FALSE,5401.55,0,12,4,49,771.65,TRUE
TXN000042,13-01-2023,CUST1757,26-35,Chennai,South,STORE031,Dairy & Eggs,Yogurt,Local,8,1211.78,0,9694.24,Cash,FALSE,9694.24,0,1,1,2,1211.78,FALSE
TXN000043,11-09-2023,CUST7547,26-35,Lucknow,North,STORE010,Personal Care,Sunscreen,FreshMart,7,1080.34,20,6049.9,Cash,TRUE,7562.38,1512.48,9,3,37,864.2714286,FALSE
TXN000044,04-03-2023,CUST8478,26-35,Delhi,North,STORE030,Frozen Foods,Fish Fingers,Premium,17,702.18,5,11340.21,Net Banking,FALSE,11937.06,596.85,3,1,9,667.0711765,FALSE
TXN000045,08-10-2023,CUST8305,26-35,Ahmedabad,West,STORE048,Grains & Pulses,Semolina,ValueBuy,20,1224.36,20,19589.76,UPI,TRUE,24487.2,4897.44,10,4,40,979.488,TRUE
TXN000046,21-05-2023,CUST8206,18-25,Chennai,South,STORE046,Beverages,Coffee Powder,PureLife,17,732.05,5,11822.61,Credit Card,FALSE,12444.85,622.24,5,2,20,695.4476471,TRUE
TXN000047,29-04-2023,CUST7275,26-35,Kolkata,East,STORE046,Beverages,Mango Juice,GreenLeaf,18,130.06,0,2341.08,Cash,FALSE,2341.08,0,4,2,17,130.06,FALSE
TXN000048,16-04-2023,CUST7883,46-55,Kolkata,East,STORE050,Frozen Foods,Frozen Fries,Local,18,704.23,0,12676.14,Cash,FALSE,12676.14,0,4,2,15,704.23,FALSE
TXN000049,19-07-2023,CUST7865,55+,Ahmedabad,West,STORE048,Grains & Pulses,Quinoa,Premium,1,1414.69,10,1273.22,Net Banking,FALSE,1414.69,141.47,7,3,29,1273.22,FALSE
TXN000050,19-07-2023,CUST6507,46-55,Bangalore,South,STORE047,Meat & Seafood,Beef Steak,HomeChoice,9,659.4,0,5934.6,UPI,FALSE,5934.6,-9.09E-13,7,3,29,659.4,TRUE
TXN000051,12-02-2023,CUST8022,26-35,Jaipur,North,STORE030,Bakery,Pita Bread,HomeChoice,1,1361.32,0,1361.32,Cash,FALSE,1361.32,0,2,1,6,1361.32,FALSE
TXN000052,14-07-2023,CUST5558,46-55,Kolkata,East,STORE017,Beverages,Energy Drink,NatureBest,7,687.5,15,4090.62,UPI,FALSE,4812.5,721.88,7,3,28,584.3742857,TRUE
TXN000053,30-11-2023,CUST1659,18-25,Hyderabad,South,STORE016,Fruits & Vegetables,Potato,GreenLeaf,12,344.09,0,4129.08,Cash,FALSE,4129.08,0,11,4,48,344.09,FALSE
TXN000054,16-10-2023,CUST4571,46-55,Bangalore,South,STORE045,Grains & Pulses,Red Lentils,PureLife,5,715.61,0,3578.05,Debit Card,FALSE,3578.05,0,10,4,42,715.61,TRUE
TXN000055,09-06-2023,CUST2771,55+,Lucknow,North,STORE002,Bakery,Pita Bread,PureLife,4,1168.91,0,4675.64,Net Banking,FALSE,4675.64,0,6,2,23,1168.91,FALSE
TXN000056,22-02-2023,CUST5941,55+,Bangalore,South,STORE008,Frozen Foods,Frozen Fries,Local,3,892.23,5,2542.86,Cash,FALSE,2676.69,133.83,2,1,8,847.62,FALSE
TXN000057,07-01-2023,CUST7882,46-55,Pune,West,STORE007,Snacks & Confectionery,Pretzels,EcoFresh,12,112.75,15,1150.05,Debit Card,FALSE,1353,202.95,1,1,1,95.8375,TRUE
TXN000058,12-11-2023,CUST9817,46-55,Pune,West,STORE030,Personal Care,Toothpaste,EcoFresh,6,1103.36,10,5958.14,Net Banking,FALSE,6620.16,662.02,11,4,45,993.0233333,FALSE
TXN000059,05-05-2023,CUST8613,55+,Bangalore,South,STORE040,Beverages,Mango Juice,EcoFresh,3,425.6,25,957.6,Debit Card,TRUE,1276.8,319.2,5,2,18,319.2,TRUE
TXN000060,13-05-2023,CUST6576,36-45,Kolkata,East,STORE039,Fruits & Vegetables,Grapes,PureLife,6,736.45,15,3755.89,Net Banking,FALSE,4418.7,662.81,5,2,19,625.9816667,FALSE
TXN000061,08-09-2023,CUST4937,46-55,Bangalore,South,STORE042,Fruits & Vegetables,Potato,ValueBuy,3,369.62,20,887.09,UPI,TRUE,1108.86,221.77,9,3,36,295.6966667,TRUE
TXN000062,06-06-2023,CUST7046,46-55,Chennai,South,STORE036,Fruits & Vegetables,Banana,Premium,8,612.56,5,4655.46,Debit Card,FALSE,4900.48,245.02,6,2,23,581.9325,TRUE
TXN000063,06-06-2023,CUST5118,26-35,Kolkata,East,STORE008,Frozen Foods,Chicken Nuggets,GreenLeaf,12,1057.25,10,11418.3,Debit Card,FALSE,12687,1268.7,6,2,23,951.525,TRUE
TXN000064,22-05-2023,CUST9595,55+,Delhi,North,STORE019,Dairy & Eggs,Buttermilk,NatureBest,7,332.41,25,1745.15,Credit Card,TRUE,2326.87,581.72,5,2,21,249.3071429,TRUE
TXN000065,21-05-2023,CUST1745,18-25,Kolkata,East,STORE036,Beverages,Coffee Powder,PureLife,6,460.38,0,2762.28,Credit Card,FALSE,2762.28,-4.55E-13,5,2,20,460.38,TRUE
TXN000066,14-08-2023,CUST6582,26-35,Hyderabad,South,STORE004,Personal Care,Conditioner,PureLife,19,433.67,25,6179.8,UPI,TRUE,8239.73,2059.93,8,3,33,325.2526316,TRUE
TXN000067,19-03-2023,CUST3444,55+,Pune,West,STORE020,Dairy & Eggs,Butter,NatureBest,16,120.38,0,1926.08,Credit Card,FALSE,1926.08,0,3,1,11,120.38,TRUE
TXN000068,25-09-2023,CUST7232,46-55,Pune,West,STORE029,Dairy & Eggs,Buttermilk,PureLife,20,898.23,5,17066.37,Net Banking,FALSE,17964.6,898.23,9,3,39,853.3185,FALSE
TXN000069,17-04-2023,CUST4457,36-45,Lucknow,North,STORE043,Frozen Foods,Frozen Corn,NatureBest,20,99.74,0,1994.8,Credit Card,FALSE,1994.8,0,4,2,16,99.74,TRUE
TXN000070,19-08-2023,CUST8699,36-45,Jaipur,North,STORE003,Meat & Seafood,Mutton Chops,GreenLeaf,3,243.23,20,583.75,Debit Card,TRUE,729.69,145.94,8,3,33,194.5833333,TRUE
TXN000071,06-08-2023,CUST2880,55+,Mumbai,West,STORE015,Beverages,Lemonade,HomeChoice,8,1386.63,5,10538.39,Debit Card,FALSE,11093.04,554.65,8,3,31,1317.29875,TRUE
TXN000072,13-08-2023,CUST3037,46-55,Hyderabad,South,STORE045,Bakery,Brown Bread,PureLife,6,1191.02,10,6431.51,UPI,FALSE,7146.12,714.61,8,3,32,1071.918333,TRUE
TXN000073,10-08-2023,CUST6280,55+,Jaipur,North,STORE017,Beverages,Coconut Water,FreshMart,16,662.26,0,10596.16,Cash,FALSE,10596.16,0,8,3,32,662.26,FALSE
TXN000074,23-10-2023,CUST1659,26-35,Lucknow,North,STORE031,Meat & Seafood,Sardines,Premium,1,1499.36,10,1349.42,UPI,FALSE,1499.36,149.94,10,4,43,1349.42,TRUE
TXN000075,16-02-2023,CUST8700,36-45,Lucknow,North,STORE027,Beverages,Green Tea,TopBrand,14,955.83,25,10036.21,Debit Card,TRUE,13381.62,3345.41,2,1,7,716.8721429,TRUE
TXN000076,06-12-2023,CUST7561,55+,Kolkata,East,STORE003,Dairy & Eggs,Cheddar Cheese,ValueBuy,14,1043.57,10,13148.98,Cash,FALSE,14609.98,1461,12,4,49,939.2128571,FALSE
TXN000077,21-09-2023,CUST1018,55+,Kolkata,East,STORE030,Snacks & Confectionery,Granola Bar,EcoFresh,4,1455.58,20,4657.86,Cash,TRUE,5822.32,1164.46,9,3,38,1164.465,FALSE
TXN000078,27-01-2023,CUST4335,36-45,Kolkata,East,STORE036,Meat & Seafood,Crab Meat,HomeChoice,20,1137.1,25,17056.5,Debit Card,TRUE,22742,5685.5,1,1,4,852.825,TRUE
TXN000079,30-12-2023,CUST3594,36-45,Mumbai,West,STORE036,Personal Care,Lip Balm,FreshMart,1,1459.99,5,1386.99,Net Banking,FALSE,1459.99,73,12,4,52,1386.99,FALSE
TXN000080,28-11-2023,CUST3522,46-55,Bangalore,South,STORE046,Frozen Foods,Ice Cream,PureLife,4,697.56,0,2790.24,Net Banking,FALSE,2790.24,0,11,4,48,697.56,FALSE
TXN000081,16-07-2023,CUST4122,55+,Ahmedabad,West,STORE033,Beverages,Energy Drink,HomeChoice,16,373.16,0,5970.56,Cash,FALSE,5970.56,0,7,3,28,373.16,FALSE
TXN000082,25-05-2023,CUST5891,55+,Kolkata,East,STORE038,Beverages,Energy Drink,ValueBuy,17,408.09,0,6937.53,Credit Card,FALSE,6937.53,0,5,2,21,408.09,TRUE
TXN000083,22-08-2023,CUST6272,26-35,Ahmedabad,West,STORE045,Personal Care,Hand Cream,GreenLeaf,12,505.34,20,4851.26,Net Banking,TRUE,6064.08,1212.82,8,3,34,404.2716667,FALSE
TXN000084,28-12-2023,CUST7246,46-55,Pune,West,STORE043,Frozen Foods,Fish Fingers,HomeChoice,2,484.08,25,726.12,UPI,TRUE,968.16,242.04,12,4,52,363.06,TRUE
TXN000085,14-08-2023,CUST2633,55+,Jaipur,North,STORE030,Fruits & Vegetables,Tomato,FreshMart,19,504.67,0,9588.73,Credit Card,FALSE,9588.73,0,8,3,33,504.67,TRUE
TXN000086,23-06-2023,CUST7512,18-25,Mumbai,West,STORE022,Frozen Foods,Frozen Peas,Premium,16,1174.47,10,16912.37,UPI,FALSE,18791.52,1879.15,6,2,25,1057.023125,TRUE
TXN000087,20-11-2023,CUST5708,26-35,Jaipur,North,STORE048,Snacks & Confectionery,Peanut Butter Cups,NatureBest,2,930.01,5,1767.02,UPI,FALSE,1860.02,93,11,4,47,883.51,TRUE
TXN000088,24-01-2023,CUST6314,18-25,Ahmedabad,West,STORE019,Dairy & Eggs,Butter,TopBrand,6,1044.06,0,6264.36,Debit Card,FALSE,6264.36,0,1,1,4,1044.06,TRUE
TXN000089,29-03-2023,CUST3868,18-25,Bangalore,South,STORE040,Frozen Foods,Frozen Peas,EcoFresh,17,623.96,0,10607.32,Net Banking,FALSE,10607.32,0,3,1,13,623.96,FALSE
TXN000090,24-08-2023,CUST5183,18-25,Lucknow,North,STORE030,Meat & Seafood,Beef Steak,PureLife,5,355.96,10,1601.82,Net Banking,FALSE,1779.8,177.98,8,3,34,320.364,FALSE
TXN000091,24-11-2023,CUST7951,36-45,Ahmedabad,West,STORE030,Bakery,Brown Bread,PureLife,12,1481.6,10,16001.28,Credit Card,FALSE,17779.2,1777.92,11,4,47,1333.44,TRUE
TXN000092,22-10-2023,CUST5847,36-45,Mumbai,West,STORE002,Frozen Foods,Waffles,EcoFresh,8,578.23,15,3931.96,Debit Card,FALSE,4625.84,693.88,10,4,42,491.495,TRUE
TXN000093,28-04-2023,CUST6772,26-35,Hyderabad,South,STORE041,Fruits & Vegetables,Broccoli,GreenLeaf,20,1120.31,10,20165.58,Net Banking,FALSE,22406.2,2240.62,4,2,17,1008.279,FALSE
TXN000094,18-01-2023,CUST6977,26-35,Mumbai,West,STORE006,Beverages,Green Tea,PureLife,2,470.31,25,705.46,Debit Card,TRUE,940.62,235.16,1,1,3,352.73,TRUE
TXN000095,29-09-2023,CUST9221,36-45,Bangalore,South,STORE011,Frozen Foods,Frozen Peas,PureLife,5,1181.9,15,5023.08,UPI,FALSE,5909.5,886.42,9,3,39,1004.616,TRUE
TXN000096,26-04-2023,CUST7511,55+,Mumbai,West,STORE024,Beverages,Mango Juice,NatureBest,15,1444.71,0,21670.65,UPI,FALSE,21670.65,0,4,2,17,1444.71,TRUE
TXN000097,27-10-2023,CUST7242,36-45,Jaipur,North,STORE007,Fruits & Vegetables,Spinach,GreenLeaf,4,687.63,10,2475.47,UPI,FALSE,2750.52,275.05,10,4,43,618.8675,TRUE
TXN000098,28-11-2023,CUST2035,46-55,Jaipur,North,STORE045,Fruits & Vegetables,Broccoli,PureLife,11,1373.73,5,14355.48,UPI,FALSE,15111.03,755.55,11,4,48,1305.043636,TRUE
TXN000099,01-03-2023,CUST2592,26-35,Hyderabad,South,STORE035,Dairy & Eggs,Cheddar Cheese,HomeChoice,2,463.5,25,695.25,UPI,TRUE,927,231.75,3,1,9,347.625,TRUE
TXN000100,01-08-2023,CUST2622,46-55,Jaipur,North,STORE040,Personal Care,Deodorant,EcoFresh,14,885.14,0,12391.96,Debit Card,FALSE,12391.96,0,8,3,31,885.14,TRUE
TXN000101,05-07-2023,CUST2627,36-45,Bangalore,South,STORE035,Fruits & Vegetables,Carrot,TopBrand,15,672.6,5,9584.55,Cash,FALSE,10089,504.45,7,3,27,638.97,FALSE
TXN000102,16-02-2023,CUST4475,55+,Bangalore,South,STORE002,Frozen Foods,Frozen Corn,FreshMart,4,1424.03,25,4272.09,Debit Card,TRUE,5696.12,1424.03,2,1,7,1068.0225,TRUE
TXN000103,28-10-2023,CUST4538,26-35,Lucknow,North,STORE022,Meat & Seafood,Mutton Chops,HomeChoice,7,112.23,5,746.33,Net Banking,FALSE,785.61,39.28,10,4,43,106.6185714,FALSE
TXN000104,26-02-2023,CUST1422,26-35,Delhi,North,STORE001,Fruits & Vegetables,Spinach,TopBrand,5,814.92,0,4074.6,Credit Card,FALSE,4074.6,0,2,1,8,814.92,TRUE
TXN000105,04-08-2023,CUST9619,18-25,Hyderabad,South,STORE048,Grains & Pulses,Semolina,NatureBest,6,405.4,0,2432.4,UPI,FALSE,2432.4,-4.55E-13,8,3,31,405.4,TRUE
TXN000106,11-11-2023,CUST1710,55+,Jaipur,North,STORE020,Personal Care,Deodorant,ValueBuy,19,172.49,5,3113.44,Cash,FALSE,3277.31,163.87,11,4,45,163.8652632,FALSE
TXN000107,31-12-2023,CUST8267,18-25,Pune,West,STORE006,Fruits & Vegetables,Grapes,TopBrand,14,1032.29,25,10839.05,Net Banking,TRUE,14452.06,3613.01,12,4,52,774.2178571,FALSE
TXN000108,15-07-2023,CUST9692,36-45,Delhi,North,STORE030,Bakery,Brown Bread,Premium,9,940.23,15,7192.76,Net Banking,FALSE,8462.07,1269.31,7,3,28,799.1955556,FALSE
TXN000109,09-08-2023,CUST8398,26-35,Mumbai,West,STORE027,Frozen Foods,Ice Cream,TopBrand,18,1084.05,5,18537.26,UPI,FALSE,19512.9,975.64,8,3,32,1029.847778,TRUE
TXN000110,11-07-2023,CUST3500,46-55,Mumbai,West,STORE005,Frozen Foods,Frozen Fries,NatureBest,11,645.88,10,6394.21,Cash,FALSE,7104.68,710.47,7,3,28,581.2918182,FALSE
TXN000111,28-10-2023,CUST6400,18-25,Mumbai,West,STORE027,Dairy & Eggs,Cream,TopBrand,12,1219.54,0,14634.48,UPI,FALSE,14634.48,0,10,4,43,1219.54,TRUE
TXN000112,21-03-2023,CUST8900,26-35,Lucknow,North,STORE007,Fruits & Vegetables,Spinach,TopBrand,10,533.95,5,5072.52,Net Banking,FALSE,5339.5,266.98,3,1,12,507.252,FALSE
TXN000113,15-10-2023,CUST1430,55+,Chennai,South,STORE043,Snacks & Confectionery,Chocolate Bar,PureLife,19,346.98,20,5274.1,Cash,TRUE,6592.62,1318.52,10,4,41,277.5842105,FALSE
TXN000114,15-03-2023,CUST7566,18-25,Chennai,South,STORE010,Bakery,Baguette,FreshMart,11,533.02,0,5863.22,Cash,FALSE,5863.22,-9.09E-13,3,1,11,533.02,FALSE
TXN000115,09-07-2023,CUST6105,36-45,Pune,West,STORE050,Cleaning Supplies,Glass Cleaner,Local,14,685.93,0,9603.02,Net Banking,FALSE,9603.02,-1.82E-12,7,3,27,685.93,FALSE
TXN000116,12-12-2023,CUST2336,36-45,Delhi,North,STORE029,Dairy & Eggs,Milk,EcoFresh,6,1134.11,0,6804.66,UPI,FALSE,6804.66,0,12,4,50,1134.11,TRUE
TXN000117,26-06-2023,CUST8043,18-25,Pune,West,STORE019,Grains & Pulses,Black Beans,Local,9,331.2,0,2980.8,UPI,FALSE,2980.8,-4.55E-13,6,2,26,331.2,TRUE
