Transaction_ID,Date,Customer_ID,Customer_Age_Group,City,Region,Store_ID,Category,Product_Name,Brand,Quantity,Unit_Price_INR,Discount_Percent,Total_Amount_INR,Payment_Method
TXN000001,13-12-2023,CUST9935,18-25,Chennai,South,STORE038,Dairy & Eggs,Milk,EcoFresh,8,342.58,0,2740.64,Cash
TXN000002,15-10-2023,CUST4257,55+,Bangalore,South,STORE027,Fruits & Vegetables,Banana,GreenLeaf,8,762.98,0,6103.84,UPI
TXN000003,23-05-2023,CUST3547,26-35,Hyderabad,South,STORE049,Grains & Pulses,Oats,TopBrand,6,1050.23,15,5356.17,Cash
TXN000004,23-01-2023,CUST8527,55+,Mumbai,West,STORE008,Dairy & Eggs,Cream,EcoFresh,12,1272.77,10,13745.92,Cash
TXN000005,24-01-2023,CUST4733,36-45,Lucknow,North,STORE006,Cleaning Supplies,Toilet Cleaner,GreenLeaf,12,870.25,0,10443,Cash
TXN000006,18-04-2023,CUST5374,18-25,Ahmedabad,West,STORE039,Frozen Foods,Frozen Corn,HomeChoice,12,252.35,15,2573.97,Net Banking
TXN000007,17-12-2023,CUST6313,18-25,Ahmedabad,West,STORE015,Meat & Seafood,Mutton Chops,FreshMart,13,412.22,5,5090.92,Debit Card
TXN000008,19-04-2023,CUST9179,46-55,Mumbai,West,STORE042,Frozen Foods,Frozen Corn,ValueBuy,7,1370.57,15,8154.89,Credit Card
TXN000009,26-10-2023,CUST7543,36-45,Bangalore,South,STORE015,Beverages,Green Tea,HomeChoice,18,813.08,20,11708.35,Net Banking
TXN000010,15-12-2023,CUST7916,55+,Hyderabad,South,STORE005,Personal Care,Conditioner,EcoFresh,4,237.73,0,950.92,UPI
TXN000011,15-12-2023,CUST2876,55+,Jaipur,North,STORE049,Grains & Pulses,Black Beans,PureLife,9,1456.91,0,13112.19,Debit Card
TXN000012,14-09-2023,CUST3927,55+,Pune,West,STORE007,Dairy & Eggs,Paneer,PureLife,6,686.05,10,3704.67,Net Banking
TXN000013,03-11-2023,CUST6310,46-55,Delhi,North,STORE002,Grains & Pulses,Chickpeas,NatureBest,12,1146.14,0,13753.68,Debit Card
TXN000014,13-02-2023,CUST8962,18-25,Hyderabad,South,STORE049,Beverages,Coffee Powder,Premium,8,1318.23,0,10545.84,Credit Card
TXN000015,19-04-2023,CUST9835,26-35,Jaipur,North,STORE046,Bakery,Donut,PureLife,6,404.93,20,1943.66,UPI
TXN000016,02-02-2023,CUST6539,18-25,Jaipur,North,STORE038,Snacks & Confectionery,Peanut Butter Cups,Premium,15,190.3,5,2711.78,Credit Card
TXN000017,28-04-2023,CUST2104,18-25,Hyderabad,South,STORE022,Grains & Pulses,Chickpeas,NatureBest,3,1064.68,0,3194.04,Net Banking
TXN000018,05-05-2023,CUST8749,46-55,Ahmedabad,West,STORE013,Meat & Seafood,Tuna Can,NatureBest,7,813.46,25,4270.66,Cash
TXN000019,11-12-2023,CUST2612,18-25,Pune,West,STORE026,Frozen Foods,Veggie Burger,TopBrand,14,705.87,0,9882.18,Cash
TXN000020,04-04-2023,CUST5563,46-55,Bangalore,South,STORE016,Meat & Seafood,Prawns,NatureBest,18,678.43,20,9769.39,UPI
TXN000021,02-05-2023,CUST3724,46-55,Hyderabad,South,STORE032,Cleaning Supplies,Floor Cleaner,ValueBuy,18,1255.68,0,22602.24,Credit Card
TXN000022,16-05-2023,CUST8454,36-45,Delhi,North,STORE028,Frozen Foods,Frozen Pizza,Premium,13,13.21,20,137.38,UPI
TXN000023,10-06-2023,CUST1936,18-25,Chennai,South,STORE038,Bakery,Muffin,ValueBuy,7,1453.38,0,10173.66,Net Banking
TXN000024,05-02-2023,CUST2113,26-35,Hyderabad,South,STORE026,Cleaning Supplies,Laundry Detergent,NatureBest,17,129.37,0,2199.29,Net Banking
TXN000025,03-12-2023,CUST9565,36-45,Lucknow,North,STORE017,Meat & Seafood,Sardines,GreenLeaf,2,932.88,20,1492.61,Debit Card
TXN000026,23-08-2023,CUST6180,18-25,Pune,West,STORE001,Meat & Seafood,Tuna Can,ValueBuy,5,1010.82,10,4548.69,Net Banking
TXN000027,09-03-2023,CUST6718,18-25,Mumbai,West,STORE016,Grains & Pulses,Wheat Flour,TopBrand,18,327.6,10,5307.12,Debit Card
TXN000028,08-12-2023,CUST5905,18-25,Jaipur,North,STORE009,Bakery,Donut,PureLife,10,921.4,0,9214,Cash
TXN000029,25-06-2023,CUST4335,36-45,Delhi,North,STORE033,Dairy & Eggs,Buttermilk,ValueBuy,9,429.82,5,3674.96,Debit Card
TXN000030,08-03-2023,CUST5291,26-35,Pune,West,STORE048,Fruits & Vegetables,Banana,ValueBuy,9,75.69,15,579.03,Net Banking
TXN000031,07-10-2023,CUST1590,36-45,Hyderabad,South,STORE038,Frozen Foods,Chicken Nuggets,Premium,4,122.11,0,488.44,Credit Card
TXN000032,03-07-2023,CUST4441,26-35,Hyderabad,South,STORE043,Frozen Foods,Frozen Peas,NatureBest,10,553.33,0,5533.3,Debit Card
TXN000033,25-03-2023,CUST3900,46-55,Lucknow,North,STORE002,Cleaning Supplies,Trash Bags,HomeChoice,5,1389.39,5,6599.6,Debit Card
TXN000034,15-07-2023,CUST1634,46-55,Chennai,South,STORE015,Frozen Foods,Fish Fingers,GreenLeaf,6,1183.19,0,7099.14,UPI
TXN000035,24-07-2023,CUST6378,36-45,Bangalore,South,STORE005,Snacks & Confectionery,Granola Bar,PureLife,8,45.26,5,343.98,Debit Card
TXN000036,14-05-2023,CUST3925,55+,Jaipur,North,STORE017,Cleaning Supplies,Trash Bags,FreshMart,11,1409.46,0,15504.06,Cash
TXN000037,17-07-2023,CUST4114,36-45,Kolkata,East,STORE003,Grains & Pulses,Quinoa,EcoFresh,11,660.23,0,7262.53,Cash
TXN000038,16-11-2023,CUST6143,18-25,Bangalore,South,STORE047,Cleaning Supplies,Disinfectant Spray,PureLife,12,652.63,15,6656.83,Net Banking
TXN000039,09-04-2023,CUST7888,46-55,Kolkata,East,STORE044,Beverages,Energy Drink,HomeChoice,13,1048.84,0,13634.92,Net Banking
TXN000040,27-05-2023,CUST4443,46-55,Pune,West,STORE038,Grains & Pulses,Oats,Local,18,1252.25,10,20286.45,Debit Card
TXN000041,04-12-2023,CUST2389,36-45,Ahmedabad,West,STORE033,Personal Care,Lip Balm,Local,7,771.65,0,5401.55,Debit Card
TXN000042,13-01-2023,CUST1757,26-35,Chennai,South,STORE031,Dairy & Eggs,Yogurt,Local,8,1211.78,0,9694.24,Cash
TXN000043,11-09-2023,CUST7547,26-35,Lucknow,North,STORE010,Personal Care,Sunscreen,FreshMart,7,1080.34,20,6049.9,Cash
TXN000044,04-03-2023,CUST8478,26-35,Delhi,North,STORE030,Frozen Foods,Fish Fingers,Premium,17,702.18,5,11340.21,Net Banking
TXN000045,08-10-2023,CUST8305,26-35,Ahmedabad,West,STORE048,Grains & Pulses,Semolina,ValueBuy,20,1224.36,20,19589.76,UPI
TXN000046,21-05-2023,CUST8206,18-25,Chennai,South,STORE046,Beverages,Coffee Powder,PureLife,17,732.05,5,11822.61,Credit Card
TXN000047,29-04-2023,CUST7275,26-35,Kolkata,East,STORE046,Beverages,Mango Juice,GreenLeaf,18,130.06,0,2341.08,Cash
TXN000048,16-04-2023,CUST7883,46-55,Kolkata,East,STORE050,Frozen Foods,Frozen Fries,Local,18,704.23,0,12676.14,Cash
TXN000049,19-07-2023,CUST7865,55+,Ahmedabad,West,STORE048,Grains & Pulses,Quinoa,Premium,1,1414.69,10,1273.22,Net Banking
TXN000050,19-07-2023,CUST6507,46-55,Bangalore,South,STORE047,Meat & Seafood,Beef Steak,HomeChoice,9,659.4,0,5934.6,UPI
TXN000051,12-02-2023,CUST8022,26-35,Jaipur,North,STORE030,Bakery,Pita Bread,HomeChoice,1,1361.32,0,1361.32,Cash
TXN000052,14-07-2023,CUST5558,46-55,Kolkata,East,STORE017,Beverages,Energy Drink,NatureBest,7,687.5,15,4090.62,UPI
TXN000053,30-11-2023,CUST1659,18-25,Hyderabad,South,STORE016,Fruits & Vegetables,Potato,GreenLeaf,12,344.09,0,4129.08,Cash
TXN000054,16-10-2023,CUST4571,46-55,Bangalore,South,STORE045,Grains & Pulses,Red Lentils,PureLife,5,715.61,0,3578.05,Debit Card
TXN000055,09-06-2023,CUST2771,55+,Lucknow,North,STORE002,Bakery,Pita Bread,PureLife,4,1168.91,0,4675.64,Net Banking
TXN000056,22-02-2023,CUST5941,55+,Bangalore,South,STORE008,Frozen Foods,Frozen Fries,Local,3,892.23,5,2542.86,Cash
TXN000057,07-01-2023,CUST7882,46-55,Pune,West,STORE007,Snacks & Confectionery,Pretzels,EcoFresh,12,112.75,15,1150.05,Debit Card
TXN000058,12-11-2023,CUST9817,46-55,Pune,West,STORE030,Personal Care,Toothpaste,EcoFresh,6,1103.36,10,5958.14,Net Banking
TXN000059,05-05-2023,CUST8613,55+,Bangalore,South,STORE040,Beverages,Mango Juice,EcoFresh,3,425.6,25,957.6,Debit Card
TXN000060,13-05-2023,CUST6576,36-45,Kolkata,East,STORE039,Fruits & Vegetables,Grapes,PureLife,6,736.45,15,3755.89,Net Banking
TXN000061,08-09-2023,CUST4937,46-55,Bangalore,South,STORE042,Fruits & Vegetables,Potato,ValueBuy,3,369.62,20,887.09,UPI
TXN000062,06-06-2023,CUST7046,46-55,Chennai,South,STORE036,Fruits & Vegetables,Banana,Premium,8,612.56,5,4655.46,Debit Card
TXN000063,06-06-2023,CUST5118,26-35,Kolkata,East,STORE008,Frozen Foods,Chicken Nuggets,GreenLeaf,12,1057.25,10,11418.3,Debit Card
TXN000064,22-05-2023,CUST9595,55+,Delhi,North,STORE019,Dairy & Eggs,Buttermilk,NatureBest,7,332.41,25,1745.15,Credit Card
TXN000065,21-05-2023,CUST1745,18-25,Kolkata,East,STORE036,Beverages,Coffee Powder,PureLife,6,460.38,0,2762.28,Credit Card
TXN000066,14-08-2023,CUST6582,26-35,Hyderabad,South,STORE004,Personal Care,Conditioner,PureLife,19,433.67,25,6179.8,UPI
TXN000067,19-03-2023,CUST3444,55+,Pune,West,STORE020,Dairy & Eggs,Butter,NatureBest,16,120.38,0,1926.08,Credit Card
TXN000068,25-09-2023,CUST7232,46-55,Pune,West,STORE029,Dairy & Eggs,Buttermilk,PureLife,20,898.23,5,17066.37,Net Banking
TXN000069,17-04-2023,CUST4457,36-45,Lucknow,North,STORE043,Frozen Foods,Frozen Corn,NatureBest,20,99.74,0,1994.8,Credit Card
TXN000070,19-08-2023,CUST8699,36-45,Jaipur,North,STORE003,Meat & Seafood,Mutton Chops,GreenLeaf,3,243.23,20,583.75,Debit Card
TXN000071,06-08-2023,CUST2880,55+,Mumbai,West,STORE015,Beverages,Lemonade,HomeChoice,8,1386.63,5,10538.39,Debit Card
TXN000072,13-08-2023,CUST3037,46-55,Hyderabad,South,STORE045,Bakery,Brown Bread,PureLife,6,1191.02,10,6431.51,UPI
TXN000073,10-08-2023,CUST6280,55+,Jaipur,North,STORE017,Beverages,Coconut Water,FreshMart,16,662.26,0,10596.16,Cash
TXN000074,23-10-2023,CUST1659,26-35,Lucknow,North,STORE031,Meat & Seafood,Sardines,Premium,1,1499.36,10,1349.42,UPI
